Player,Salary
Obi Toppin,4862040
OG Anunoby,3872215
Omari Spellman,1988280
Onyeka Okongwu,5813640
Oshae Brissett,300000
Otto Porter,28489239
P.J. Tucker,7969537
P.J. Washington,4023600
Pascal Siakam,29000000
Pat Connaughton,4938272
Patrick Beverley,13333333
Patrick McCaw,4000000
Patrick Patterson,3814768
Patrick Patterson,3814768
Patrick Williams,7068360
Patty Mills,13285714
Paul George,35450412
Paul Millsap,10000000
Paul Watson,1445697
Payton Pritchard,2035800
Precious Achiuwa,2582160
Quinn Cook,1797183
Quinn Cook,1797183
R.J. Hampton,2193480
Rajon Rondo,7500000
Raul Neto,1882867
Rayjon Tucker,340000
Reggie Bullock,4200000
Reggie Jackson,2331593
Richaun Holmes,5005350
Ricky Rubio,17000000
RJ Barrett,8231760
Robert Covington,12138345
Robert Williams,2029920
Robert Woodard,1500000
Robin Lopez,7300000
Rodions Kurucs,1780152
Rodney Hood,10047450
Rodney McGruder,5000000
Romeo Langford,3631200
Royce O'Neale,8035714
Rudy Gay,14000000
Rudy Gobert,26525281
Rui Hachimura,4692840
Russell Westbrook,41358814
Ryan Anderson,5214583
Ryan Arcidiacono,3000000
Saddiq Bey,2689920
Sam Merrill,898310
Sekou Doumbouya,3449400
Semi Ojeleye,1752950
Serge Ibaka,9258000
Seth Curry,7813953
Shai Gilgeous-Alexander,4141320
Shake Milton,1701593
Shaquille Harrison,770433
Shaun Livingston,666667
Sindarius Thornwell,747435
Solomon Hill,2174318
Spencer Dinwiddie,11454048
Stanley Johnson,3801000
Stephen Curry,43006362
Sterling Brown,1678854
Steven Adams,27528090
Sviatoslav Mykhailiuk,1663861
T.J. Leaf,4326825
T.J. McConnell,3500000
T.J. Warren,11750000
Taj Gibson,3283684
Taj Gibson,3283684
Talen Horton-Tucker,1517981
Taurean Prince,13942308
Terance Mann,1517984
Terence Davis,1517981
Terrance Ferguson,3944013
Terrence Ross,13500000
Terry Rozier,18900000
Thaddeus Young,13545000
Thanasis Antetokounmpo,1701593
Théo Maledon,2000000
Thomas Bryant,8333333
Thon Maker,309355
Tim Hardaway Jr.,18975000
Timofey Mozgov,5573333
Timothé Luwawu-Cabarrot,1824003
Tobias Harris,33517241
Tomáš Satoranský,10000000
Tony Bradley,3542060
Tony Snell,12178571
Torrey Craig,1678854
Trae Young,6571800
Tre Jones,898310
Trevor Ariza,12800000
Trey Burke,3174603
Trey Lyles,5500000
Tristan Thompson,9258000
Troy Brown Jr.,3372840
Troy Williams,122741
Ty Jerome,2303040
Tyler Herro,3822240
Tyler Johnson,2028594
Tyrell Terry,1289846
Tyrese Haliburton,3831840
Tyrese Maxey,2478840
Tyus Jones,7965100
Udoka Azubuike,1977000
Udonis Haslem,2564753
Vernon Carey Jr.,1350000
Victor Oladipo,21000000
Vincent Poirier,2619207
Vlatko ?an?ar,898310
Wayne Ellington,3005225
Wayne Ellington,3005225
Wendell Carter Jr.,5448840
Wenyen Gabriel,1620564
Wesley Iwundu,1678854
Wesley Matthews,3623000
Will Barton,13920000
Willie Cauley-Stein,4000000
Willy Hernangómez,1727145
Xavier Tillman Sr.,1300000
Zach Collins,5406255
Zach LaVine,19500000
Zach Norvell,1445697
Zeke Nnaji,2379840
Zhaire Smith,3204600
Zion Williamson,10245480
Zylan Cheatham,1445697
